province,location,elev_m,jan_2_5_C,jan_1_C,jul_2_5_dry_C,jul_2_5_wet_C,degree_days_below_18,rain_15min_mm,one_day_rain_1_50_mm,annual_rain_mm,moisture_index,ann_total_ppn_mm,driving_rain_pressure_Pa,Ss_kPa,Sr_kPa,q_1_10_kPa,q_1_50_kPa,name_ok
Saskatchewan,Qu'Appelle,645,-34,-36,30,22,5620,25,97,340,0.5,430,160,1.7,0.1,0.33,0.42,True
Saskatchewan,Regina,575,-34,-36,31,21,5600,28,103,300,0.4,365,200,1.4,0.1,0.39,0.49,True
Saskatchewan,Rosetown,595,-34,-36,31,20,5620,23,81,260,0.4,330,200,1.7,0.1,0.39,0.49,True
Saskatchewan,Saskatoon,500,-35,-37,30,21,5700,23,86,265,0.4,350,160,1.7,0.1,0.36,0.46,True
Saskatchewan,Scott,645,-34,-36,30,20,5960,20,81,270,0.4,360,140,1.9,0.1,0.36,0.45,True
Saskatchewan,Strasbourg,545,-34,-36,30,22,5600,25,92,300,0.4,390,180,1.5,0.1,0.33,0.42,True
Saskatchewan,Swift Current,750,-31,-34,31,20,5150,25,81,260,0.3,350,240,1.4,0.1,0.43,0.54,True
Saskatchewan,Uranium City,265,-42,-44,26,19,7500,12,54,300,0.6,360,100,2.0,0.1,0.27,0.36,True
Saskatchewan,Weyburn,575,-33,-35,31,23,5400,28,97,320,0.4,400,200,1.8,0.1,0.38,0.48,True
Saskatchewan,Yorkton,510,-34,-37,29,21,6000,23,97,350,0.5,440,140,1.9,0.1,0.32,0.4,True
Manitoba,Beausejour,245,-33,-35,29,23,5680,28,103,430,0.6,530,180,2.0,0.2,0.32,0.41,True
Manitoba,Boissevain,510,-32,-34,30,23,5500,28,119,390,0.5,510,180,2.2,0.2,0.41,0.52,True
Manitoba,Brandon,395,-33,-35,30,22,5760,28,108,375,0.6,460,180,2.1,0.2,0.39,0.49,True
Manitoba,Churchill,10,-38,-40,25,18,8950,12,76,265,0.8,410,260,3.0,0.2,0.43,0.55,True
Manitoba,Dauphin,295,-33,-35,30,22,5900,28,103,400,0.6,490,160,1.9,0.2,0.32,0.4,True
Manitoba,Flin Flon,300,-38,-40,27,20,6440,18,81,340,0.6,475,80,2.2,0.2,0.28,0.35,True
Manitoba,Gimli,220,-34,-36,29,23,5800,28,108,410,0.7,530,180,1.9,0.2,0.32,0.4,True
Manitoba,Island Lake,240,-36,-38,27,20,6900,18,86,380,0.7,550,80,2.6,0.2,0.29,0.37,True
Manitoba,Lac du Bonnet,260,-34,-36,29,23,5730,28,103,445,0.7,560,180,1.9,0.2,0.29,0.37,True
Manitoba,Lynn Lake,350,-40,-42,27,19,7770,18,86,310,0.6,490,100,2.4,0.2,0.29,0.37,True
Manitoba,Morden,300,-31,-33,30,24,5400,28,119,420,0.6,520,180,2.2,0.2,0.41,0.52,True
Manitoba,Neepawa,365,-32,-34,29,23,5760,28,108,410,0.6,470,180,2.2,0.2,0.35,0.44,True
Manitoba,Pine Falls,220,-34,-36,28,23,5900,25,97,440,0.7,420,180,1.9,0.2,0.31,0.39,True
Manitoba,Portage la Prairie,260,-31,-33,30,23,5600,28,108,390,0.5,525,180,2.1,0.2,0.36,0.46,True
Manitoba,Rivers,465,-34,-36,29,23,5840,28,108,370,0.6,460,180,2.1,0.2,0.36,0.46,True
Manitoba,Sandilands,365,-32,-34,29,23,5650,28,113,460,0.6,550,180,2.2,0.2,0.32,0.4,True
Manitoba,Selkirk,225,-33,-35,29,23,5700,28,108,420,0.6,500,180,1.9,0.2,0.32,0.41,True
Manitoba,Split Lake,175,-38,-40,27,19,7900,18,76,325,0.7,500,120,2.5,0.2,0.31,0.39,True
Manitoba,Steinbach,270,-33,-35,29,23,5700,28,108,440,0.6,500,180,2.0,0.2,0.32,0.4,True
Manitoba,Swan River,335,-34,-37,29,22,6100,20,92,370,0.6,500,120,2.0,0.2,0.28,0.35,True
Manitoba,The Pas,270,-36,-38,28,21,6480,18,81,330,0.6,450,160,2.2,0.2,0.29,0.37,True
